Match No,Date,Time,Team A,Team B,Venue,Match ID
1,30-09-2025,15.00.00,IND-W,SL-W,"Barsapara Cricket Stadium, Guwahati",23638
2,01-10-2025,15.00.00,AUS-W,NZ-W,"Holkar Cricket Stadium, Indore",23639
3,02-10-2025,15.00.00,BAN-W,PAK-W,"R.Premadasa Stadium, Colombo",23640
4,03-10-2025,15.00.00,ENG-W,SA-W,"Barsapara Cricket Stadium, Guwahati",23641
5,04-10-2025,15.00.00,SL-W,AUS-W,"R.Premadasa Stadium, Colombo",23642
6,05-10-2025,15.00.00,IND-W,PAK-W,"R.Premadasa Stadium, Colombo",23643
7,06-10-2025,15.00.00,NZ-W,SA-W,"Holkar Cricket Stadium, Indore",23644
8,07-10-2025,15.00.00,ENG-W,BAN-W,"Barsapara Cricket Stadium, Guwahati",23645
9,08-10-2025,15.00.00,AUS-W,PAK-W,"R.Premadasa Stadium, Colombo",23646
10,09-10-2025,15.00.00,IND-W,SA-W,"Dr.Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",23647
11,10-10-2025,15.00.00,NZ-W,BAN-W,"Barsapara Cricket Stadium, Guwahati",23648
12,11-10-2025,15.00.00,ENG-W,SL-W,"R.Premadasa Stadium, Colombo",23649
13,12-10-2025,15.00.00,IND-W,AUS-W,"Dr.Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",23650
14,13-10-2025,15.00.00,SA-W,BAN-W,"Dr.Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",23651
15,14-10-2025,15.00.00,SL-W,NZ-W,"R.Premadasa Stadium, Colombo",23652
16,15-10-2025,15.00.00,ENG-W,PAK-W,"R.Premadasa Stadium, Colombo",23653
17,16-10-2025,15.00.00,AUS-W,BAN-W,"Dr.Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",23654
18,17-10-2025,15.00.00,SL-W,SA-W,"R.Premadasa Stadium, Colombo",23655
19,18-10-2025,15.00.00,NZ-W,PAK-W,"R.Premadasa Stadium, Colombo",23656
20,19-10-2025,15.00.00,IND-W,ENG-W,"Holkar Cricket Stadium, Indore",23657
21,20-10-2025,15.00.00,SL-W,BAN-W,"Dr DY Patil Sports Academy, Navi Mumbai",23658
22,21-10-2025,15.00.00,SA-W,PAK-W,"R.Premadasa Stadium, Colombo",23659
23,22-10-2025,15.00.00,AUS-W,ENG-W,"Holkar Cricket Stadium, Indore",23660
24,23-10-2025,15.00.00,IND-W,NZ-W,"Dr DY Patil Sports Academy, Navi Mumbai",23661
25,24-10-2025,15.00.00,SL-W,PAK-W,"R.Premadasa Stadium, Colombo",23662
26,25-10-2025,15.00.00,AUS-W,SA-W,"Holkar Cricket Stadium, Indore",23663
27,26-10-2025,11.00.00,ENG-W,NZ-W,"Dr.Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",23664
28,26-10-2025,15.00.00,IND-W,BAN-W,"Dr DY Patil Sports Academy, Navi Mumbai",23665
Semi Final 1,29-10-2025,15.00.00,TBA,TBA,"TBA, TBA",23666
Semi Final 2,30-10-2025,15.00.00,TBA,TBA,"Dr DY Patil Sports Academy, Navi Mumbai",23667
Final,02-11-2025,15.00.00,TBA,TBA,"TBA, TBA",23668
